epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353.403,1.50536,2.0067,1.56732,0.48969,0.50763,0.47929,0.28409,1.48798,1.66456,1.58375,0.0670147,0.000333184,0.000333184
1,190.921,1.44605,1.943,1.5101,0.50777,0.44531,0.44171,0.24893,1.61463,1.76523,1.6769,0.0670589,0.000332738,0.000332738
2,373.216,1.37501,1.48804,1.44238,0.56324,0.5105,0.52555,0.31689,1.44279,1.44648,1.50928,0.0340369,0.000644091,0.000644091
3,552.384,1.33385,1.37727,1.40365,0.62014,0.47017,0.52023,0.29667,1.44575,1.39128,1.53799,0.000992968,0.000933444,0.000933444
4,731.902,1.30141,1.2911,1.37809,0.61428,0.5721,0.60397,0.36673,1.37289,1.27609,1.47342,0.000901,0.000901,0.000901
5,912.314,1.26762,1.2258,1.3547,0.64283,0.58866,0.62084,0.38056,1.35048,1.14115,1.4226,0.000868,0.000868,0.000868
6,1094.72,1.2381,1.16869,1.33782,0.6665,0.62305,0.66191,0.40324,1.30204,1.0943,1.38338,0.000835,0.000835,0.000835
7,1274.73,1.21343,1.11371,1.31606,0.64829,0.64688,0.66151,0.40576,1.30556,1.07484,1.39139,0.000802,0.000802,0.000802
8,1456.07,1.20001,1.08073,1.3069,0.62479,0.66225,0.681,0.42408,1.29169,1.011,1.38067,0.000769,0.000769,0.000769
9,1637.56,1.18428,1.04713,1.29191,0.65904,0.65769,0.68394,0.42818,1.28116,1.00551,1.35532,0.000736,0.000736,0.000736
10,1819.77,1.15946,1.01405,1.27693,0.68905,0.65667,0.7018,0.43888,1.24024,0.95415,1.337,0.000703,0.000703,0.000703
11,2001.79,1.15112,0.98436,1.27366,0.71681,0.6843,0.72624,0.45073,1.25459,0.94666,1.34983,0.00067,0.00067,0.00067
12,2172.59,1.14488,0.96989,1.26546,0.70289,0.679,0.7279,0.45443,1.24283,0.94253,1.33163,0.000637,0.000637,0.000637
13,2340.64,1.12075,0.93578,1.25027,0.64613,0.72162,0.73139,0.4597,1.23348,0.93636,1.33214,0.000604,0.000604,0.000604
14,2507.18,1.11733,0.92252,1.24755,0.69492,0.70675,0.73275,0.46125,1.23974,0.89429,1.3345,0.000571,0.000571,0.000571
15,2673.43,1.10182,0.90177,1.23465,0.70728,0.72528,0.74306,0.47305,1.21942,0.84855,1.3094,0.000538,0.000538,0.000538
16,2840.05,1.09693,0.88981,1.23082,0.70759,0.70778,0.74569,0.47552,1.21678,0.85747,1.31176,0.000505,0.000505,0.000505
17,3007.6,1.07891,0.86495,1.22042,0.70975,0.72425,0.75405,0.47929,1.2123,0.84647,1.30569,0.000472,0.000472,0.000472
18,3175.48,1.0695,0.85727,1.21406,0.6784,0.72294,0.7412,0.4786,1.21351,0.84041,1.30792,0.000439,0.000439,0.000439
19,3341.1,1.05867,0.8284,1.20501,0.68061,0.74378,0.75607,0.48242,1.19749,0.82339,1.28955,0.000406,0.000406,0.000406
20,3507.91,1.04552,0.81204,1.19694,0.70128,0.75249,0.76411,0.48435,1.21321,0.81945,1.30272,0.000373,0.000373,0.000373
21,3691.1,1.0344,0.72916,1.21333,0.70873,0.72646,0.76203,0.48662,1.19862,0.8188,1.30291,0.00034,0.00034,0.00034
22,3854.41,1.01638,0.69919,1.20213,0.70141,0.76055,0.76863,0.49222,1.19533,0.80516,1.30076,0.000307,0.000307,0.000307
23,4019.25,0.99994,0.6762,1.18956,0.71754,0.7469,0.77101,0.49631,1.19918,0.79815,1.3004,0.000274,0.000274,0.000274
24,4184.13,0.9861,0.65842,1.17911,0.70602,0.74661,0.76605,0.4926,1.19375,0.79769,1.30097,0.000241,0.000241,0.000241
25,4349.78,0.97021,0.64027,1.16899,0.71473,0.75652,0.76892,0.4973,1.18422,0.79878,1.28974,0.000208,0.000208,0.000208
26,4515.05,0.95788,0.62537,1.16098,0.71506,0.75201,0.77014,0.49513,1.19058,0.79419,1.29664,0.000175,0.000175,0.000175
27,4677.47,0.94548,0.61416,1.15407,0.72097,0.76001,0.77445,0.49993,1.18907,0.7896,1.29901,0.000142,0.000142,0.000142
28,4841.55,0.92979,0.59743,1.14351,0.71485,0.7502,0.77193,0.49681,1.19225,0.79899,1.29639,0.000109,0.000109,0.000109
29,5030.7,0.92074,0.5863,1.13693,0.7164,0.76167,0.77174,0.49637,1.19079,0.79108,1.2965,7.6e-05,7.6e-05,7.6e-05
30,5234.34,0.91061,0.57543,1.12817,0.7179,0.75517,0.77128,0.4963,1.18982,0.79748,1.29829,4.3e-05,4.3e-05,4.3e-05
