epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1044.05,1.09145,2.48714,1.28633,0.74331,0.73424,0.79027,0.52507,1.09552,2.25997,1.30991,0.0501724,4.98775e-05,4.98775e-05
2,1819.78,1.03933,2.25432,1.25563,0.74806,0.78646,0.82116,0.56044,1.03764,1.9977,1.26635,0.000217483,9.49335e-05,9.49335e-05
3,3688.75,1.0097,2.11543,1.2366,0.72133,0.78977,0.82064,0.56345,1.02718,1.95959,1.25914,9.01e-05,9.01e-05,9.01e-05
4,4843.03,1.00203,2.07092,1.23217,0.75244,0.78865,0.83047,0.56906,1.01949,1.89991,1.25321,8.515e-05,8.515e-05,8.515e-05
5,6596.25,0.9944,2.04627,1.22708,0.72906,0.83455,0.83184,0.57251,1.01278,1.88326,1.24601,8.02e-05,8.02e-05,8.02e-05
6,7685.53,0.99343,2.02634,1.22579,0.74999,0.8232,0.83531,0.57279,1.01102,1.86916,1.24344,7.525e-05,7.525e-05,7.525e-05
7,8700.8,0.98775,1.97894,1.22152,0.75383,0.815,0.83685,0.57315,1.01003,1.86121,1.24389,7.03e-05,7.03e-05,7.03e-05
8,10667.9,0.97762,1.96724,1.21708,0.76271,0.82617,0.83951,0.57826,1.00572,1.85013,1.24142,6.535e-05,6.535e-05,6.535e-05
9,12216.4,0.97838,1.93973,1.21124,0.76463,0.80309,0.83874,0.5782,1.00403,1.83011,1.23988,6.04e-05,6.04e-05,6.04e-05
10,13757,0.97567,1.93648,1.21551,0.75859,0.81655,0.84039,0.57823,1.00207,1.83321,1.23804,5.545e-05,5.545e-05,5.545e-05
11,15551,0.96942,1.71351,1.22975,0.75003,0.81516,0.83785,0.57582,1.00871,1.82454,1.23682,5.05e-05,5.05e-05,5.05e-05
12,16399,0.96378,1.70359,1.22259,0.7565,0.82226,0.84208,0.57934,1.00355,1.81748,1.23306,4.555e-05,4.555e-05,4.555e-05
13,17655,0.95652,1.67736,1.22124,0.75274,0.82258,0.84028,0.57937,1.00143,1.80626,1.23244,4.06e-05,4.06e-05,4.06e-05
14,18509.9,0.95253,1.66482,1.21142,0.74995,0.82763,0.84362,0.58161,0.99816,1.79166,1.23091,3.565e-05,3.565e-05,3.565e-05
15,19520.5,0.94688,1.6357,1.21413,0.74807,0.8306,0.84131,0.58374,0.99413,1.78687,1.22723,3.07e-05,3.07e-05,3.07e-05
16,20881.7,0.94662,1.63806,1.2103,0.75716,0.82487,0.84252,0.58328,0.99359,1.78578,1.2271,2.575e-05,2.575e-05,2.575e-05
17,22763,0.94111,1.61407,1.20459,0.7538,0.82425,0.84197,0.58205,0.99366,1.7882,1.22747,2.08e-05,2.08e-05,2.08e-05
18,23547.7,0.94125,1.62164,1.20549,0.75683,0.82414,0.8424,0.58308,0.99329,1.77978,1.22605,1.585e-05,1.585e-05,1.585e-05
19,24883.1,0.94105,1.62,1.20896,0.75061,0.83219,0.84261,0.58285,0.99136,1.77339,1.22507,1.09e-05,1.09e-05,1.09e-05
20,26110.1,0.93502,1.60372,1.20183,0.75825,0.82618,0.84325,0.58299,0.9922,1.76849,1.22561,5.95e-06,5.95e-06,5.95e-06
